,formatted_address,name,opening_hours,place_id,price_level,rating,types,user_ratings_total,website
20,"7516 Meade St, Pittsburgh, PA 15208, United States",East End Food Co-op,{'open_now': False},ChIJqXKGXcLtNIgR1463ucRHX8I,1.0,4.6,"['grocery_or_supermarket', 'cafe', 'store', 'food', 'point_of_interest', 'establishment']",1478,http://www.eastendfood.coop/
21,"1901 Fifth Ave, Pittsburgh, PA 15219, United States",Quick Schwartz Super Market Inc,{'open_now': False},ChIJ36Blk2PxNIgR71Zgkh_hdDI,,4.2,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41,http://quick-market-inc.jany.io/
22,"3220 Leechburg Rd, Lower Burrell, PA 15068, United States",Community Supermarket,{'open_now': False},ChIJqTVeAdm9NIgRaQERBbm_BsE,,4.4,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",538,http://www.communitysupermarket.com/
23,"1160 Washington Ave, Carnegie, PA 15106, United States",ALDI,{'open_now': False},ChIJIf_JxsT3NIgRhW2-vAEL1kI,1.0,4.4,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']",1142,https://stores.aldi.us/pa/carnegie/1160-washington-avenue?utm_source=google&utm_medium=local&utm_campaign=brand&utm_content=storepage_webclick
24,"429 Walnut St, Sewickley, PA 15143, United States",Safran's Supermarket,{'open_now': False},ChIJ-TXkAKpgNIgRQ65Ya_nOQ1E,,4.4,"['grocery_or_supermarket', 'supermarket', 'point_of_interest', 'store', 'food', 'establishment']",245,http://www.safransmarket.com/
25,"482 Smithfield St, Pittsburgh, PA 15219, United States",Target Grocery,{'open_now': False},ChIJE4z0cMXxNIgR8FzYeL4--h0,,4.5,"['grocery_or_supermarket', 'supermarket', 'point_of_interest', 'store', 'food', 'establishment']",2,https://www.target.com/c/order-pickup/-/N-ng0a0?aisles_cid=5xt1a%2CGrocery%2C%2Fc%2Fgrocery%2F-%2FN-5xt1a
26,"16280 Dresden Ave, East Liverpool, OH 43920, United States",Walmart Supercenter,{'open_now': True},ChIJh0YekioRNIgRVfmDcDw6s94,1.0,3.7,"['department_store', 'hardware_store', 'furniture_store', 'bakery', 'electronics_store', 'home_goods_store', 'clothing_store', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",2351,https://www.walmart.com/store/1707-east-liverpool-oh
27,"2200 Washington Pike, Carnegie, PA 15106, United States",Walmart,{'open_now': True},ChIJK1pkR-H3NIgRCFmQYyOnUJg,1.0,3.9,"['department_store', 'hardware_store', 'furniture_store', 'electronics_store', 'home_goods_store', 'clothing_store', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",3629,https://www.walmart.com/store/5040-carnegie-pa
28,"3950 Brodhead Rd, Monaca, PA 15061, United States",Walmart Plaza,{'open_now': True},ChIJN3bZr6JvNIgR7dvGu10nciQ,1.0,3.9,"['grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",1571,https://www.walmart.com/store/1883/monaca-pa
29,"915 Mills Dr, Irwin, PA 15642, United States",Walmart Grocery Order Pickup,{'open_now': False},ChIJOSeGn93cNIgRa0RRgFA661w,1.0,4.0,"['grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",52,https://grocery.walmart.com/
30,"16280 Dresden Ave, East Liverpool, OH 43920, United States",Walmart Photo Center,{'open_now': False},ChIJh0YekioRNIgRrPnegCAeSGk,1.0,4.0,"['electronics_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",4,https://www.walmart.com/store/1707-east-liverpool-oh/
31,"100 Walmart Dr, North Versailles, PA 15137, United States",Walmart Garden Center,{'open_now': True},ChIJ-V2c3dXoNIgR8kAsW-4dmeo,1.0,3.8,"['furniture_store', 'home_goods_store', 'general_contractor', 'store', 'point_of_interest', 'establishment']",5,https://www.walmart.com/store/2588-north-versailles-pa/patio-garden-services
32,"479 Ferguson Rd, Dunbar, PA 15431, United States",DAmico Wholesale,{'open_now': False},ChIJmaCn8ac7NYgRDXQOa_mprMU,,4.3,"['food', 'point_of_interest', 'store', 'establishment']",22,http://www.damicowholesale.com/
